record_id,type,type_english
RISE_S001,trappträning,stair training
RISE_S001,promenad,walk
RISE_S002,NA,NA
RISE_S002,sprang med en moped för att försöka rullstarta den. så sprang och drog den i ettans växel för att försöka starta den. sprang ca 200meter,ran with a moped to try to start it by rolling. ran and pushed it in first gear to try to start it. ran about 200 meters
RISE_S002,fysiskt ansträngande jobb på jobbet,physically demanding job at work
RISE_S002,fysiskt arbete på jobbet med tidspress o stress så svettades ganska rejält,physical work at the job with time pressure and stress so sweated quite a lot
RISE_S002,armhävningar + benböj + sit-ups lite snabbt på kvällen. Spelade också datorspel i stressiga situartioner där pulsen gick upp o började svettas,push-ups + squats + sit-ups quickly in the evening. Also played computer games in stressful situations where the pulse went up and started to sweat
RISE_S002,"armhävningar, benböj och situps","push-ups, squats and sit-ups"
RISE_S003,NA,NA
RISE_S003,tvätta bilen för hand och byggde skåp på jobbet,washed the car by hand and built cabinets at work
RISE_S003,tvätta bil för hand,wash car by hand
RISE_S004,promenad i rask takt 45 minuter,brisk walk 45 minutes
RISE_S004,NA,NA
RISE_S004,raska promenader,brisk walks
RISE_S004,"promenad, snickeri på tak utomhus, golf","walk, carpentry on roof outdoors, golf"
RISE_S004,"möblerade om, promenader ute","rearranged furniture, walks outdoors"
RISE_S005,NA,NA
RISE_S005,cirkelträning,circuit training
RISE_S005,promenad,walk
RISE_S006,promenad,walk
RISE_S007,NA,NA
RISE_S007,golf,golf
RISE_S007,Styrketräning,Strength training
RISE_S008,NA,NA
RISE_S008,promenad och trädgårdsarbete,walking and gardening
RISE_S009,promenad,walk
RISE_S009,NA,NA
RISE_S009,träning på gym,training at the gym
RISE_S010,walking,walking
RISE_S010,cycling,cycling
RISE_S010,NA,NA
RISE_S010,manual labor,manual labor
RISE_S011,running,Running
RISE_S012,promenad  yoga,"walking, yoga"
RISE_S012,NA,NA
RISE_S012,Högintensiv intervallträning,High-intensity interval training
RISE_S012,rask promenad/jogging,brisk walk/jogging
RISE_S012,promenad,walk
RISE_S012,Radk promenad,Rake walk
RISE_S012,Rörlighetsträning . Rask promenad,Mobility training. Brisk walk
RISE_S013,Rask promenad,Brisk walk
RISE_S013,NA,NA
RISE_S013,rask promenad till badstrand,brisk walk to the beach
RISE_S013,rask promenad i skatås,brisk walk in Skatås
RISE_S014,Gick till och från jobbet + ärende totalt 70min,"Walked to and from work + errand, total 70min"
RISE_S014,30min gå till jobbet (åkte bil hem),30 min walk to work (drove car home)
RISE_S014,60min totalt gå till / från jobb + 50min styrketräning gym,60min total walking to/from work + 50min strength training at gym
RISE_S014,35min gå till jobb (skjuts hem),35min walk to work (ride home)
RISE_S014,60min total gå till från jobb och 60 min gym,60 min total walking to and from work and 60 min gym
RISE_S014,NA,NA
RISE_S014,styrketräning gym 60min,strength training gym 60min
RISE_S015,inget. gick runt i staden.,nothing. walked around the city.
RISE_S015,simmning,swimming
RISE_S015,NA,NA
RISE_S016,Motionssimning,Leisure swimming
RISE_S016,NA,NA
RISE_S017,"cyckling till från jobbet, kvällspromenad","cycling to and from work, evening walk"
RISE_S017,promenad,walk
RISE_S017,NA,NA
RISE_S017,cyckling,cycling
