record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
RISE_S001,Uncomfortable,I felt that my vision was worse with the glasses. They also caused eye fatigue in the evenings. I took off the glasses and rested my eyes at times. They were also heavy and chafed on the bridge of my nose so that it started to bleed at one point. I wore a bandage and sometimes supported the glasses with my hand so they wouldn't rest on my nose or under my eyes.,"In the evenings, I found that they disrupted my vision. The glasses made me feel insecure during certain physical activities for fear of dropping them. Outside and in the store, many people stared but no one said anything.",I avoided going through a park at night because I was afraid those I met would think I was filming them and that this could lead to a confrontation. I skipped a work meeting.,At the workplace and in online meetings. Most people first thought I was wearing a camera so I often had to explain what I was wearing. I wore the glasses at a leisure activity in the evening where I received comments.,"I would have preferred to have the glasses without lenses. If you could make a solution with an optical fiber close to the eyes instead and have the meter itself somewhere else, that would be very valuable. I experienced no problems at all with the necklace or arm sensor but I doubt the arm sensor gives such good values. You often had to remind yourself not to cover it with your sleeve, jacket or gloves.",NA,FALSE,Obekvämt,Jag upplevde att jag såg sämre med glasögonen. De ledde också till ögontrötthet på kvällarna. Tog av glasögonen och vilade ögonen vid några tillfällen. De var också tunga och skavde på näsryggen så den började blöda vid ett tillfälle. Jag bar plåster och stöttade ibland upp glasögonen med handen så att de inte skulle vila på näsa eller under ögonen.,På kvällarna tyckte jag att de störde min syn.  Glasögonen gjorde att jag kände osäkerhet i vissa fysiska aktiviteter av rädsla för att tappa glasögonen.   Utomhus och i affären var det många som stirrade men ingen sade något.,Jag undvek att gå genom en park kvällstid eftersom jag var rädd att de jag mötte skulle tro att jag filmade dem och att detta kunde leda till en konfrontation.   Jag avstod ett möte på jobbet.,På arbetsplatsen och i online-möten. De flesta trodde först att jag bar en kamera så fick förklara ofta vad jag bar. Bar glasögonen på en fritidsaktivitet kvällstid där jag fick kommentarer.,"Jag hade föredragit att ha glasögonen utan glas. Om man kunde göra en lösning med en optisk fiber nära ögonen i stället och ha själva mätaren någon annanstans hade det varit mycket värt. Jag upplevde inga besvär alls med halsbandet eller armsensorn men tvivlar på att armsensorn ger så bra värden. Man fick ofta påminna sig om att inte täcka över den med tröjärm, jacka eller vantar.",NA
RISE_S002,Sometimes irritating,"The glasses got dirty, and there was soreness on my ears.  I endured the pain.",When I was eating.,No,"Someone asked, somewhat aggressively, why I was filming because the person thought the light-logging sensor was a camera.",Include a way to clean the glasses.,NA,FALSE,Ibland irriterande,"Glassögonen blev smutsiga, och öronskav.   Härdade ut smärtan",När jag åt mat.,nej,Någon frågade lite halvt aggressivt om varför jag filmade för personen trodde ljusloggande sensorn var en kamera,Ge med sätt att tvätta glassögonen,NA
RISE_S003,It felt okay.,When I was lying in bed and the glasses pressed against my head. I adjusted the glasses.,"While soldering at work, the lenses got dirty and I had to clean them often.",No.,"Yes, people asked if I was recording/filming.",Glasses without lenses. More comfortable for the eyes and can't get dirty.,NA,FALSE,Det kändes okej.,När jag låg i sängen och glasögonen tryckte mot huvudet. Justerade glasögonen.,"Under lödning på jobbet, smutsiga glas, fick tvätta ofta.",Nej,"Ja, folk frågade om jag filmade.",Glasögon utan glas. Mer vant för ögon och kan inte bli smutsiga.,NA
RISE_S004,"I'm not used to wearing glasses, so it felt somewhat unusual and sometimes impractical (in cloudy/drizzly weather).",A bit of chafing around the ears. Lots of curious looks when moving around in public.,When watching screens/when being outdoors.,"No, I tried to follow my normal routines.","Many, especially in shops when interacting with cashiers, and also when meeting acquaintances.","The bracelet was difficult not to cover with a sweater/jacket. Having it as a ""wrist wrap"" would have been better since you could wear it over clothing.",NA,FALSE,Jag är ovan vid att bära glasögon och tyckte var en smula ovanligt och ibland opraktiskt (vid mulet/duggregn),Lite skav kring öronen. Många nyfikna blickar då man rörde sig i offentligheten,Vid skärmtittande/när man rör sig utomhus,"Nej, jag försökte följa mina normala rutiner","många, speciellt i affärer när man hade kontakt med kassör, oc även om man träffade bekanta","Armbandet var svårt att inte täcka över med tröja/jacka. Att ha den som en ""wrist wrap"" hade varit bättre då man kan sätta den utanpå ett plagg",NA
RISE_S005,A bit uncomfortable towards the evening as they became a little uncomfortable on the nose and around the head.,It didn't feel good to walk around the grocery store since many people thought it was a camera. I didn't take them in with me.,When meeting other people.,Nothing I can think of now.,Some people asked what I was wearing and why.,The necklace might be enough. It's not as attention-grabbing. Doesn't disturb the user as much.,NA,FALSE,Lite obehagligt framåt kvällen då de var lite obekväma på näsan och runt huvudet.,Känns inte så bra att gå omkring i mataffären då många tror att det är en kamera. Tog inte med dem in.,När man ska träffa andra människor,Inget jag kommer på nu,Några frågade vad det var man hade på sig och varför,Kan räcka med halsbandet. Inte lika uppseendeväckande. Stör inte lika mycket för användaren.,NA
RISE_S006,It felt OK for the most part.,"A bit uncomfortable the first day, then it was ok.",At home while playing with my son. He tries to touch the sensors.,See above. Played more carefully.,"I take the bus to work so people sometimes stared. However, no one said anything.","It would be good if they could be smaller/concealed, of course.",NA,FALSE,Det kändes OK för det mesta,"Lite obekvämt första dagen, sen var det ok",Hemma när jag lekte med sonen. Han försöker ta på sensorerna,Se ovan. Leka mer försiktigt.,Åker buss till jobbet så folk stirrade ibland. Ingen som sade något dock.,Bra om de kunde vara mindre/dolda så klart.,NA
RISE_S007,"Relatively strenuous because of the glasses. They were not particularly comfortable, and I didn't feel completely at ease among people.","See response to previous question. In some cases, I took the glasses off for short periods when there were a lot of people around (in stores and similar situations), and also to relieve the pressure on my nose.",No specific situations.,"No, not really. I played two rounds of golf and normally wear sunglasses during that, which was not possible this time.","I usually explained when it involved friends and acquaintances. Otherwise, there were no comments from strangers.","The sensors worn around the neck and wrist were no problem at all. The glasses with the sensors were relatively burdensome, both physically (uncomfortable and front-heavy) and, in some situations, mentally as well.",NA,FALSE,Relativt ansträngande för glasögonen. Dels satt de inte speciellt skönt och dels kände jag mig inte helt bekväm bland folk.,"Se svar föregående fråga. I några fall tog jag av mig glasögonen korta stunder bland mycket folk (affärer och liknande), och även för att avlasta näsan.",Inga speciella situationer.,"Nej, egentligen inte. Spelade 2 rundor golf och brukar då ha solglasögon vilket inte gick nu.",Jag förklarade oftast om när det handlade om vänner och bekanta. I övrigt inga kommentarer från okända.,"De sensorerna som bars runt halsen och handleden var inga problem alls. Glasögonen med sensorerna var relativt påfrestande, både fysiskt (obekväma och framtunga) och i vissa situationer även till viss del mentalt.",NA
RISE_S008,"Completely okay, mostly.","In certain situations, it was bothersome, which made me take off the glasses.",Social situations.,Either explain why I was wearing them or take the glasses off.,"Yes, mostly curiosity. But also people asked if I was filming (like a GoPro camera).",Sensors on the wrist and around the neck are completely fine. The sensor on the glasses could hopefully be made smaller to attract less attention.,NA,TRUE,"Helt ok, mestadels.",Vissa situationer var det besvärande vilket medförde att jag tog av mig glasögonen.,Sociala sammanhang.,Antingen berätta om varför jag bar dem eller ta av glasögonen.,"Ja, nyfikenhet för det mesta. Men också fråga om jag filmade (GoPro-kamera).",Sensorer på handled och runt hals helt ok. Glasögonens sensor kunde förhoppningsvis göras mindre för minskad uppmärksamhet.,NA
RISE_S009,The glasses were uncomfortable and attracted the attention of people around me. I would have preferred them to be more discreet.,"They pressed on my nose and I often felt that my vision was worse with the glasses on, especially in the evening.",Among people in public places and in the evening when you are tired.,No.,"Yes, they attracted interest. Many of those who commented were curious; others thought I had a camera.","The glasses were uncomfortable, but unfortunately I have no solution for how to keep the sensor close to the eyes otherwise.",NA,FALSE,Glasögonen var obekväma och väckte omgivningens uppmärksamhet. Hade önskat de var mer diskreta.,De tryckte på näsan och jag upplevde ofta att jag såg sämre med glasögonen på. Särskilt på kvällen.,Bland folk på allmän plats och på kvällen när man är trött.,Nej.,"Ja, de väckte intresse. Många som kommenterade var intresserade, andra trodde att man hade en kamera.",Glasögonen var obekväma men har tyvärr ingen lösning på hur man skall ha sensorn nära ögonen annars.,NA
RISE_S010,They got many strange looks. Most people thought it was a GoPro or similar. One person thought I had been in an accident.,"They did not fit properly and kept falling off. I had to tape them to my face which was very irritating. And my toddler would often grab at them. At times when I was not able to tape them to my face, I had to wear a cap and rest the glasses on the peak (this was mainly at the weekend). But in this situation I felt I did not have free movement of my head.","When I had to look after my toddler, e.g. bending over, playing, etc.","Not really. The first day I cycled with them I went to work later than usual, so there would be less other traffic, while I got used to the glasses.",Every time I met someone in person they asked about the devices. By the end of the week it got a bit boring to explain it each time.,"Glasses that are somehow adjustable so that they are a better fit. Or with different sizes and shapes of glasses to choose from, so that the best fit can be selected.",NA,FALSE,They got many strange looks. Most people thought it was a GoPro or similar. One person thought I had been in an accident.,"They did not fit properly and kept falling off. I had to tape them to my face which was very irritating. And my toddler would often grab at them. At times when I was not able to tape them to my face, I had to wear a cap and rest the glasses on the peak (this was mainly at the weekend). But in this situation I felt I did not have free movement of my head.","When I had to look after my toddler, e.g. bending over,  playing, etc","Not really. The first day I cycled with them I went to work later than usual, so there would be less other traffic, while I got used to the glasses",Every time I met someone in person they asked about the devices. By the end of the week it got a bit boring to explain it each time,"Glasses that are somehow adjustable so that they are a better fit. Or with different sizes and shapes of glasses to choose from, so that the best fir can be selected",NA
